"DATE","SNOW DP INCHES",""
"07/01/1983","--",""
"08/01/1983","--",""
"09/01/1983","--",""
"10/01/1983","--",""
"11/01/1983","--",""
"12/01/1983","49",""
"01/01/1984","49",""
"02/01/1984","46",""
"03/01/1984","64",""
"04/01/1984","48",""
"05/01/1984","30",""
"06/01/1984","--",""
"07/01/1984","--",""
"08/01/1984","--",""
"09/01/1984","--",""
"10/01/1984","--",""
"11/01/1984","--",""
"12/01/1984","42",""
"01/01/1985","42",""
"02/01/1985","52",""
"03/01/1985","52",""
"04/01/1985","68",""
"05/01/1985","18",""
"06/01/1985","--",""
"07/01/1985","--",""
"08/01/1985","--",""
"09/01/1985","--",""
"10/01/1985","--",""
"11/01/1985","--",""
"12/01/1985","39",""
"01/01/1986","39",""
"02/01/1986","43",""
"03/01/1986","77",""
"04/01/1986","71",""
"05/01/1986","34",""
"06/01/1986","--",""
"07/01/1986","--",""
"08/01/1986","--",""
"09/01/1986","--",""
"10/01/1986","--",""
"11/01/1986","--",""
"12/01/1986","8",""
"01/01/1987","8",""
"02/01/1987","37",""
"03/01/1987","41",""
"04/01/1987","41",""
"05/01/1987","0",""
"06/01/1987","--",""
"07/01/1987","--",""
"08/01/1987","--",""
"09/01/1987","--",""
"10/01/1987","--",""
"11/01/1987","--",""
"12/01/1987","34",""
"01/01/1988","34",""
"02/01/1988","46",""
"03/01/1988","32",""
"04/01/1988","11",""
"05/01/1988","0",""
"06/01/1988","--",""
"07/01/1988","--",""
"08/01/1988","--",""
"09/01/1988","--",""
"10/01/1988","--",""
"11/01/1988","--",""
"12/01/1988","22",""
"01/01/1989","22",""
"02/01/1989","49",""
"03/01/1989","54",""
"04/01/1989","65",""
"05/01/1989","35",""
"06/01/1989","--",""
"07/01/1989","--",""
"08/01/1989","--",""
"09/01/1989","--",""
"10/01/1989","--",""
"11/01/1989","--",""
"12/01/1989","22",""
"01/01/1990","22",""
"02/01/1990","36",""
"03/01/1990","58",""
"04/01/1990","44",""
"05/01/1990","1",""
"06/01/1990","--",""
"07/01/1990","--",""
"08/01/1990","--",""
"09/01/1990","--",""
"10/01/1990","--",""
"11/01/1990","--",""
"12/01/1990","21",""
"01/01/1991","21",""
"02/01/1991","20",""
"03/01/1991","18",""
"04/01/1991","83",""
"05/01/1991","36",""
"06/01/1991","--",""
"07/01/1991","--",""
"08/01/1991","--",""
"09/01/1991","--",""
"10/01/1991","--",""
"11/01/1991","--",""
"12/01/1991","24",""
"01/01/1992","24",""
"02/01/1992","27",""
"03/01/1992","42",""
"04/01/1992","33",""
"05/01/1992","0",""
"06/01/1992","--",""
"07/01/1992","--",""
"08/01/1992","--",""
"09/01/1992","--",""
"10/01/1992","--",""
"11/01/1992","--",""
"12/01/1992","90",""
"01/01/1993","90",""
"02/01/1993","89",""
"03/01/1993","130",""
"04/01/1993","91",""
"05/01/1993","70",""
"06/01/1993","--",""
"07/01/1993","--",""
"08/01/1993","--",""
"09/01/1993","--",""
"10/01/1993","--",""
"11/01/1993","--",""
"12/01/1993","27",""
"01/01/1994","27",""
"02/01/1994","38",""
"03/01/1994","75",""
"04/01/1994","34",""
"05/01/1994","4",""
"06/01/1994","--",""
"07/01/1994","--",""
"08/01/1994","--",""
"09/01/1994","--",""
"10/01/1994","--",""
"11/01/1994","--",""
"12/01/1994","57",""
"01/01/1995","57",""
"02/01/1995","89",""
"03/01/1995","74",""
"04/01/1995","108",""
"05/01/1995","96",""
"06/01/1995","--",""
"07/01/1995","--",""
"08/01/1995","--",""
"09/01/1995","--",""
"10/01/1995","--",""
"11/01/1995","--",""
"12/01/1995","15",""
"01/01/1996","15",""
"02/01/1996","76",""
"03/01/1996","87",""
"04/01/1996","73",""
"05/01/1996","41",""
"06/01/1996","--",""
"07/01/1996","--",""
"08/01/1996","--",""
"09/01/1996","--",""
"10/01/1996","--",""
"11/01/1996","--",""
"12/01/1996","42",""
"01/01/1997","42",""
"02/01/1997","84",""
"03/01/1997","73",""
"04/01/1997","49",""
"05/01/1997","7",""
"06/01/1997","--",""
"07/01/1997","--",""
"08/01/1997","--",""
"09/01/1997","--",""
"10/01/1997","--",""
"11/01/1997","--",""
"12/01/1997","44",""
"01/01/1998","44",""
"02/01/1998","66",""
"03/01/1998","123",""
"04/01/1998","98",""
"05/01/1998","79",""
"06/01/1998","--",""
"07/01/1998","--",""
"08/01/1998","--",""
"09/01/1998","--",""
"10/01/1998","--",""
"11/01/1998","--",""
"12/01/1998","--",""
"01/01/1999","36",""
"02/01/1999","65",""
"03/01/1999","136",""
"04/01/1999","105",""
"05/01/1999","79",""
"06/01/1999","--",""
"07/01/1999","--",""
"08/01/1999","--",""
"09/01/1999","--",""
"10/01/1999","--",""
"11/01/1999","--",""
"12/01/1999","--",""
"01/01/2000","12",""
"02/01/2000","49",""
"03/01/2000","91",""
"04/01/2000","55",""
"05/01/2000","14",""
"06/01/2000","--",""
"07/01/2000","--",""
"08/01/2000","--",""
"09/01/2000","--",""
"10/01/2000","--",""
"11/01/2000","--",""
"12/01/2000","22",""
"01/01/2001","22",""
"02/01/2001","40",""
"03/01/2001","68",""
"04/01/2001","36",""
"05/01/2001","35",""
"06/01/2001","--",""
"07/01/2001","--",""
"08/01/2001","--",""
"09/01/2001","--",""
"10/01/2001","--",""
"11/01/2001","--",""
"12/01/2001","58",""
"01/01/2002","58",""
"02/01/2002","84",""
"03/01/2002","57",""
"04/01/2002","106",""
"05/01/2002","29",""
"06/01/2002","--",""
"07/01/2002","--",""
"08/01/2002","--",""
"09/01/2002","--",""
"10/01/2002","--",""
"11/01/2002","--",""
"12/01/2002","60",""
"01/01/2003","60",""
"02/01/2003","42",""
"03/01/2003","43",""
"04/01/2003","37",""
"05/01/2003","52",""
"06/01/2003","--",""
"07/01/2003","--",""
"08/01/2003","--",""
"09/01/2003","--",""
"10/01/2003","--",""
"11/01/2003","--",""
"12/01/2003","58",""
"01/01/2004","58",""
"02/01/2004","64",""
"03/01/2004","95",""
"04/01/2004","57",""
"05/01/2004","15",""
"06/01/2004","--",""
"07/01/2004","--",""
"08/01/2004","--",""
"09/01/2004","--",""
"10/01/2004","--",""
"11/01/2004","--",""
"12/01/2004","39",""
"01/01/2005","39",""
"02/01/2005","84",""
"03/01/2005","92",""
"04/01/2005","101",""
"05/01/2005","--",""
"06/01/2005","--",""
"07/01/2005","--",""
"08/01/2005","--",""
"09/01/2005","--",""
"10/01/2005","--",""
"11/01/2005","--",""
"12/01/2005","45",""
"01/01/2006","45",""
"02/01/2006","58",""
"03/01/2006","52",""
"04/01/2006","78",""
"05/01/2006","98",""
"06/01/2006","--",""
"07/01/2006","--",""
"08/01/2006","--",""
"09/01/2006","--",""
"10/01/2006","--",""
"11/01/2006","--",""
"12/01/2006","25",""
"01/01/2007","25",""
"02/01/2007","27",""
"03/01/2007","75",""
"04/01/2007","57",""
"05/01/2007","11",""
"06/01/2007","--",""
"07/01/2007","--",""
"08/01/2007","--",""
"09/01/2007","--",""
"10/01/2007","--",""
"11/01/2007","--",""
"12/01/2007","29",""
"01/01/2008","29",""
"02/01/2008","74",""
"03/01/2008","92",""
"04/01/2008","64",""
"05/01/2008","24",""
"06/01/2008","--",""
"07/01/2008","--",""
"08/01/2008","--",""
"09/01/2008","--",""
"10/01/2008","--",""
"11/01/2008","--",""
"12/01/2008","--",""
"01/01/2009","--",""
"02/01/2009","37",""
"03/01/2009","60",""
"04/01/2009","58",""
"05/01/2009","31",""
"06/01/2009","--",""
"07/01/2009","--",""
"08/01/2009","--",""
"09/01/2009","--",""
"10/01/2009","--",""
"11/01/2009","--",""
"12/01/2009","38",""
"01/01/2010","38",""
"02/01/2010","68",""
"03/01/2010","78",""
"04/01/2010","75",""
"05/01/2010","67",""
"06/01/2010","--",""
"07/01/2010","--",""
"08/01/2010","--",""
"09/01/2010","--",""
"10/01/2010","--",""
"11/01/2010","--",""
"12/01/2010","--",""
"01/01/2011","--",""
"02/01/2011","60",""
"03/01/2011","103",""
"04/01/2011","106",""
"05/01/2011","86",""
"06/01/2011","--",""
"07/01/2011","--",""
"08/01/2011","--",""
"09/01/2011","--",""
"10/01/2011","--",""
"11/01/2011","--",""
"12/01/2011","4",""
"01/01/2012","4",""
"02/01/2012","15",""
"03/01/2012","24",""
"04/01/2012","45",""
"05/01/2012","18",""
"06/01/2012","--",""
"07/01/2012","--",""
"08/01/2012","--",""
"09/01/2012","--",""
"10/01/2012","--",""
"11/01/2012","--",""
"12/01/2012","--",""
"01/01/2013","--",""
"02/01/2013","44",""
"03/01/2013","34",""
"04/01/2013","36",""
"05/01/2013","0",""
"06/01/2013","--",""
"07/01/2013","--",""
"08/01/2013","--",""
"09/01/2013","--",""
"10/01/2013","--",""
"11/01/2013","--",""
"12/01/2013","13",""
"01/01/2014","13",""
"02/01/2014","16",""
"03/01/2014","34",""
"04/01/2014","48",""
"05/01/2014","8",""
"06/01/2014","--",""
"07/01/2014","--",""
"08/01/2014","--",""
"09/01/2014","--",""
"10/01/2014","--",""
"11/01/2014","--",""
"12/01/2014","18",""
"01/01/2015","18",""
"02/01/2015","14",""
"03/01/2015","8",""
"04/01/2015","0",""
"05/01/2015","0",""
"06/01/2015","--",""
"07/01/2015","--",""
"08/01/2015","--",""
"09/01/2015","--",""
"10/01/2015","--",""
"11/01/2015","--",""
"12/01/2015","--",""
"01/01/2016","--",""
"02/01/2016","74",""
"03/01/2016","60",""
"04/01/2016","64",""
"05/01/2016","28",""
"06/01/2016","--",""
"07/01/2016","--",""
"08/01/2016","--",""
"09/01/2016","--",""
"10/01/2016","--",""
"11/01/2016","--",""
"12/01/2016","--",""
"01/01/2017","--",""
"02/01/2017","92",""
"03/01/2017","--",""
"04/01/2017","90",""
"05/01/2017","--",""
"06/01/2017","--",""
"07/01/2017","--",""
"08/01/2017","--",""
"09/01/2017","--",""
"10/01/2017","--",""
"11/01/2017","--",""
"12/01/2017","6",""
"01/01/2018","6",""
"02/01/2018","--",""
"03/01/2018","12",""
"04/01/2018","39",""
"05/01/2018","5",""
"06/01/2018","--",""
"07/01/2018","--",""
"08/01/2018","--",""
"09/01/2018","--",""
"10/01/2018","--",""
"11/01/2018","--",""
"12/01/2018","25",""
"01/01/2019","25",""
"02/01/2019","50",""
"03/01/2019","114",""
"04/01/2019","106",""
"05/01/2019","66",""
"06/01/2019","--",""
"07/01/2019","--",""
"08/01/2019","--",""
"09/01/2019","--",""
"10/01/2019","--",""
"11/01/2019","--",""
"12/01/2019","31",""
"01/01/2020","31",""
"02/01/2020","39",""
"03/01/2020","32",""
"04/01/2020","56",""
"05/01/2020","23",""
"06/01/2020","--",""
"07/01/2020","--",""
"08/01/2020","--",""
"09/01/2020","--",""
"10/01/2020","--",""
"11/01/2020","--",""
"12/01/2020","28",""
"01/01/2021","28",""
"02/01/2021","66",""
"03/01/2021","56",""
"04/01/2021","53",""
"05/01/2021","16",""
"06/01/2021","--",""
"07/01/2021","--",""
"08/01/2021","--",""
"09/01/2021","--",""
"10/01/2021","--",""
"11/01/2021","--",""
