"DATE","SNOW DP INCHES",""
"07/01/1983","--",""
"08/01/1983","--",""
"09/01/1983","--",""
"10/01/1983","--",""
"11/01/1983","--",""
"12/01/1983","56",""
"01/01/1984","56",""
"02/01/1984","52",""
"03/01/1984","72",""
"04/01/1984","55",""
"05/01/1984","30",""
"06/01/1984","--",""
"07/01/1984","--",""
"08/01/1984","--",""
"09/01/1984","--",""
"10/01/1984","--",""
"11/01/1984","--",""
"12/01/1984","41",""
"01/01/1985","41",""
"02/01/1985","45",""
"03/01/1985","46",""
"04/01/1985","62",""
"05/01/1985","0",""
"06/01/1985","--",""
"07/01/1985","--",""
"08/01/1985","--",""
"09/01/1985","--",""
"10/01/1985","--",""
"11/01/1985","--",""
"12/01/1985","42",""
"01/01/1986","42",""
"02/01/1986","43",""
"03/01/1986","81",""
"04/01/1986","73",""
"05/01/1986","28",""
"06/01/1986","--",""
"07/01/1986","--",""
"08/01/1986","--",""
"09/01/1986","--",""
"10/01/1986","--",""
"11/01/1986","--",""
"12/01/1986","5",""
"01/01/1987","5",""
"02/01/1987","34",""
"03/01/1987","41",""
"04/01/1987","35",""
"05/01/1987","0",""
"06/01/1987","--",""
"07/01/1987","--",""
"08/01/1987","--",""
"09/01/1987","--",""
"10/01/1987","--",""
"11/01/1987","--",""
"12/01/1987","29",""
"01/01/1988","29",""
"02/01/1988","45",""
"03/01/1988","28",""
"04/01/1988","1",""
"05/01/1988","0",""
"06/01/1988","--",""
"07/01/1988","--",""
"08/01/1988","--",""
"09/01/1988","--",""
"10/01/1988","--",""
"11/01/1988","--",""
"12/01/1988","63",""
"01/01/1989","63",""
"02/01/1989","49",""
"03/01/1989","53",""
"04/01/1989","59",""
"05/01/1989","7",""
"06/01/1989","--",""
"07/01/1989","--",""
"08/01/1989","--",""
"09/01/1989","--",""
"10/01/1989","--",""
"11/01/1989","--",""
"12/01/1989","18",""
"01/01/1990","18",""
"02/01/1990","31",""
"03/01/1990","50",""
"04/01/1990","29",""
"05/01/1990","4",""
"06/01/1990","--",""
"07/01/1990","--",""
"08/01/1990","--",""
"09/01/1990","--",""
"10/01/1990","--",""
"11/01/1990","--",""
"12/01/1990","21",""
"01/01/1991","21",""
"02/01/1991","17",""
"03/01/1991","12",""
"04/01/1991","77",""
"05/01/1991","20",""
"06/01/1991","--",""
"07/01/1991","--",""
"08/01/1991","--",""
"09/01/1991","--",""
"10/01/1991","--",""
"11/01/1991","--",""
"12/01/1991","22",""
"01/01/1992","22",""
"02/01/1992","24",""
"03/01/1992","36",""
"04/01/1992","22",""
"05/01/1992","0",""
"06/01/1992","--",""
"07/01/1992","--",""
"08/01/1992","--",""
"09/01/1992","--",""
"10/01/1992","--",""
"11/01/1992","--",""
"12/01/1992","79",""
"01/01/1993","79",""
"02/01/1993","89",""
"03/01/1993","126",""
"04/01/1993","83",""
"05/01/1993","49",""
"06/01/1993","--",""
"07/01/1993","--",""
"08/01/1993","--",""
"09/01/1993","--",""
"10/01/1993","--",""
"11/01/1993","--",""
"12/01/1993","27",""
"01/01/1994","27",""
"02/01/1994","34",""
"03/01/1994","69",""
"04/01/1994","22",""
"05/01/1994","0",""
"06/01/1994","--",""
"07/01/1994","--",""
"08/01/1994","--",""
"09/01/1994","--",""
"10/01/1994","--",""
"11/01/1994","--",""
"12/01/1994","54",""
"01/01/1995","54",""
"02/01/1995","86",""
"03/01/1995","69",""
"04/01/1995","106",""
"05/01/1995","87",""
"06/01/1995","--",""
"07/01/1995","--",""
"08/01/1995","--",""
"09/01/1995","--",""
"10/01/1995","--",""
"11/01/1995","--",""
"12/01/1995","16",""
"01/01/1996","16",""
"02/01/1996","100",""
"03/01/1996","78",""
"04/01/1996","66",""
"05/01/1996","25",""
"06/01/1996","--",""
"07/01/1996","--",""
"08/01/1996","--",""
"09/01/1996","--",""
"10/01/1996","--",""
"11/01/1996","--",""
"12/01/1996","41",""
"01/01/1997","41",""
"02/01/1997","81",""
"03/01/1997","70",""
"04/01/1997","42",""
"05/01/1997","0",""
"06/01/1997","--",""
"07/01/1997","--",""
"08/01/1997","--",""
"09/01/1997","--",""
"10/01/1997","--",""
"11/01/1997","--",""
"12/01/1997","40",""
"01/01/1998","40",""
"02/01/1998","63",""
"03/01/1998","117",""
"04/01/1998","89",""
"05/01/1998","67",""
"06/01/1998","--",""
"07/01/1998","--",""
"08/01/1998","--",""
"09/01/1998","--",""
"10/01/1998","--",""
"11/01/1998","--",""
"12/01/1998","--",""
"01/01/1999","36",""
"02/01/1999","66",""
"03/01/1999","115",""
"04/01/1999","97",""
"05/01/1999","69",""
"06/01/1999","--",""
"07/01/1999","--",""
"08/01/1999","--",""
"09/01/1999","--",""
"10/01/1999","--",""
"11/01/1999","--",""
"12/01/1999","--",""
"01/01/2000","11",""
"02/01/2000","53",""
"03/01/2000","89",""
"04/01/2000","49",""
"05/01/2000","0",""
"06/01/2000","--",""
"07/01/2000","--",""
"08/01/2000","--",""
"09/01/2000","--",""
"10/01/2000","--",""
"11/01/2000","--",""
"12/01/2000","23",""
"01/01/2001","23",""
"02/01/2001","41",""
"03/01/2001","66",""
"04/01/2001","30",""
"05/01/2001","20",""
"06/01/2001","--",""
"07/01/2001","--",""
"08/01/2001","--",""
"09/01/2001","--",""
"10/01/2001","--",""
"11/01/2001","--",""
"12/01/2001","54",""
"01/01/2002","54",""
"02/01/2002","59",""
"03/01/2002","56",""
"04/01/2002","62",""
"05/01/2002","16",""
"06/01/2002","--",""
"07/01/2002","--",""
"08/01/2002","--",""
"09/01/2002","--",""
"10/01/2002","--",""
"11/01/2002","--",""
"12/01/2002","53",""
"01/01/2003","53",""
"02/01/2003","34",""
"03/01/2003","37",""
"04/01/2003","24",""
"05/01/2003","35",""
"06/01/2003","--",""
"07/01/2003","--",""
"08/01/2003","--",""
"09/01/2003","--",""
"10/01/2003","--",""
"11/01/2003","--",""
"12/01/2003","59",""
"01/01/2004","59",""
"02/01/2004","62",""
"03/01/2004","96",""
"04/01/2004","40",""
"05/01/2004","0",""
"06/01/2004","--",""
"07/01/2004","--",""
"08/01/2004","--",""
"09/01/2004","--",""
"10/01/2004","--",""
"11/01/2004","--",""
"12/01/2004","39",""
"01/01/2005","39",""
"02/01/2005","77",""
"03/01/2005","87",""
"04/01/2005","93",""
"05/01/2005","61",""
"06/01/2005","--",""
"07/01/2005","--",""
"08/01/2005","--",""
"09/01/2005","--",""
"10/01/2005","--",""
"11/01/2005","--",""
"12/01/2005","41",""
"01/01/2006","41",""
"02/01/2006","56",""
"03/01/2006","48",""
"04/01/2006","74",""
"05/01/2006","67",""
"06/01/2006","--",""
"07/01/2006","--",""
"08/01/2006","--",""
"09/01/2006","--",""
"10/01/2006","--",""
"11/01/2006","--",""
"12/01/2006","28",""
"01/01/2007","28",""
"02/01/2007","22",""
"03/01/2007","64",""
"04/01/2007","35",""
"05/01/2007","0",""
"06/01/2007","--",""
"07/01/2007","--",""
"08/01/2007","--",""
"09/01/2007","--",""
"10/01/2007","--",""
"11/01/2007","--",""
"12/01/2007","29",""
"01/01/2008","29",""
"02/01/2008","73",""
"03/01/2008","86",""
"04/01/2008","53",""
"05/01/2008","3",""
"06/01/2008","--",""
"07/01/2008","--",""
"08/01/2008","--",""
"09/01/2008","--",""
"10/01/2008","--",""
"11/01/2008","--",""
"12/01/2008","41",""
"01/01/2009","41",""
"02/01/2009","35",""
"03/01/2009","54",""
"04/01/2009","49",""
"05/01/2009","11",""
"06/01/2009","--",""
"07/01/2009","--",""
"08/01/2009","--",""
"09/01/2009","--",""
"10/01/2009","--",""
"11/01/2009","--",""
"12/01/2009","38",""
"01/01/2010","38",""
"02/01/2010","63",""
"03/01/2010","76",""
"04/01/2010","66",""
"05/01/2010","56",""
"06/01/2010","--",""
"07/01/2010","--",""
"08/01/2010","--",""
"09/01/2010","--",""
"10/01/2010","--",""
"11/01/2010","--",""
"12/01/2010","56",""
"01/01/2011","56",""
"02/01/2011","56",""
"03/01/2011","89",""
"04/01/2011","124",""
"05/01/2011","66",""
"06/01/2011","--",""
"07/01/2011","--",""
"08/01/2011","--",""
"09/01/2011","--",""
"10/01/2011","--",""
"11/01/2011","--",""
"12/01/2011","1",""
"01/01/2012","1",""
"02/01/2012","16",""
"03/01/2012","18",""
"04/01/2012","31",""
"05/01/2012","0",""
"06/01/2012","--",""
"07/01/2012","--",""
"08/01/2012","--",""
"09/01/2012","--",""
"10/01/2012","--",""
"11/01/2012","--",""
"12/01/2012","49",""
"01/01/2013","49",""
"02/01/2013","37",""
"03/01/2013","29",""
"04/01/2013","13",""
"05/01/2013","0",""
"06/01/2013","--",""
"07/01/2013","--",""
"08/01/2013","--",""
"09/01/2013","--",""
"10/01/2013","--",""
"11/01/2013","--",""
"12/01/2013","9",""
"01/01/2014","9",""
"02/01/2014","12",""
"03/01/2014","26",""
"04/01/2014","34",""
"05/01/2014","0",""
"06/01/2014","--",""
"07/01/2014","--",""
"08/01/2014","--",""
"09/01/2014","--",""
"10/01/2014","--",""
"11/01/2014","--",""
"12/01/2014","22",""
"01/01/2015","22",""
"02/01/2015","7",""
"03/01/2015","6",""
"04/01/2015","0",""
"05/01/2015","0",""
"06/01/2015","--",""
"07/01/2015","--",""
"08/01/2015","--",""
"09/01/2015","--",""
"10/01/2015","--",""
"11/01/2015","--",""
"12/01/2015","54",""
"01/01/2016","54",""
"02/01/2016","76",""
"03/01/2016","58",""
"04/01/2016","58",""
"05/01/2016","4",""
"06/01/2016","--",""
"07/01/2016","--",""
"08/01/2016","--",""
"09/01/2016","--",""
"10/01/2016","--",""
"11/01/2016","--",""
"12/01/2016","34",""
"01/01/2017","34",""
"02/01/2017","90",""
"03/01/2017","112",""
"04/01/2017","94",""
"05/01/2017","50",""
"06/01/2017","--",""
"07/01/2017","--",""
"08/01/2017","--",""
"09/01/2017","--",""
"10/01/2017","--",""
"11/01/2017","--",""
"12/01/2017","2",""
"01/01/2018","2",""
"02/01/2018","14",""
"03/01/2018","14",""
"04/01/2018","32",""
"05/01/2018","0",""
"06/01/2018","--",""
"07/01/2018","--",""
"08/01/2018","--",""
"09/01/2018","--",""
"10/01/2018","--",""
"11/01/2018","--",""
"12/01/2018","26",""
"01/01/2019","26",""
"02/01/2019","50",""
"03/01/2019","113",""
"04/01/2019","106",""
"05/01/2019","47",""
"06/01/2019","--",""
"07/01/2019","--",""
"08/01/2019","--",""
"09/01/2019","--",""
"10/01/2019","--",""
"11/01/2019","--",""
"12/01/2019","34",""
"01/01/2020","34",""
"02/01/2020","40",""
"03/01/2020","29",""
"04/01/2020","44",""
"05/01/2020","2",""
"06/01/2020","--",""
"07/01/2020","--",""
"08/01/2020","--",""
"09/01/2020","--",""
"10/01/2020","--",""
"11/01/2020","--",""
"12/01/2020","30",""
"01/01/2021","30",""
"02/01/2021","63",""
"03/01/2021","56",""
"04/01/2021","50",""
"05/01/2021","0",""
"06/01/2021","--",""
"07/01/2021","--",""
"08/01/2021","--",""
"09/01/2021","--",""
"10/01/2021","--",""
"11/01/2021","--",""
